invoice_id,line_id,sku,field_checked,expected_value,actual_value,delta,status,explanation,evidence
INV-1001,1,CP-001,unit_price,5.0,5.5,0.5,FAIL,"Invoice unit_price 5.5 exceeds the contract value 5.0 (delta +0.5000). Authoritative source: amendment_q2.docx (precedence 2). Unit Price: Defined as $5.50 in master_contract.pdf (precedence 4) and pricing.xlsx Base Pricing sheet (precedence 3). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2), which overrides lower-precedence sources, so $5.00 prevails.
Discount Percent: Listed as 5% in master_contract.pdf (4) and pricing.xlsx Base Pricing (3). amendment_q2.docx Table (2) shows 10%, which is also recorded in pricing.xlsx Discounts & Amendments (3) as an Amendment Override effective 2026-01-01. The amendment (precedence 2) overrides the earlier 5%, so 10% wins.
Tax Percent: Specified as 8% in master_contract.pdf (4) and reiterated in pricing.xlsx Base Pricing (3). No higher-precedence source changes tax, so the highest-precedence value available is 8% from the Excel sheet (precedence 3).
Effective Date: amendment_q2.docx states the revised pricing is effective 2026-01-01; the Discounts & Amendments sheet shows the same effective date for the 10% discount override. Therefore, 2026-01-01 is the effective date for the current terms.
Overall, amendment_q2.docx (precedence 2) is the most authoritative source affecting CP-001, so it is listed as the controlling document.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,discount_percent,10.0,5.0,-5.0,FAIL,"Invoice discount_percent 5.0 is below the contract value 10.0 (delta -5.0000). Authoritative source: amendment_q2.docx (precedence 2). Unit Price: Defined as $5.50 in master_contract.pdf (precedence 4) and pricing.xlsx Base Pricing sheet (precedence 3). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2), which overrides lower-precedence sources, so $5.00 prevails.
Discount Percent: Listed as 5% in master_contract.pdf (4) and pricing.xlsx Base Pricing (3). amendment_q2.docx Table (2) shows 10%, which is also recorded in pricing.xlsx Discounts & Amendments (3) as an Amendment Override effective 2026-01-01. The amendment (precedence 2) overrides the earlier 5%, so 10% wins.
Tax Percent: Specified as 8% in master_contract.pdf (4) and reiterated in pricing.xlsx Base Pricing (3). No higher-precedence source changes tax, so the highest-precedence value available is 8% from the Excel sheet (precedence 3).
Effective Date: amendment_q2.docx states the revised pricing is effective 2026-01-01; the Discounts & Amendments sheet shows the same effective date for the 10% discount override. Therefore, 2026-01-01 is the effective date for the current terms.
Overall, amendment_q2.docx (precedence 2) is the most authoritative source affecting CP-001, so it is listed as the controlling document.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,total_amount,58320.0,67716.0,9396.0,FAIL,"Invoice total_amount 67716.0 exceeds the contract value 58320.0 (delta +9396.0000). Authoritative source: amendment_q2.docx (precedence 2). Unit Price: Defined as $5.50 in master_contract.pdf (precedence 4) and pricing.xlsx Base Pricing sheet (precedence 3). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2), which overrides lower-precedence sources, so $5.00 prevails.
Discount Percent: Listed as 5% in master_contract.pdf (4) and pricing.xlsx Base Pricing (3). amendment_q2.docx Table (2) shows 10%, which is also recorded in pricing.xlsx Discounts & Amendments (3) as an Amendment Override effective 2026-01-01. The amendment (precedence 2) overrides the earlier 5%, so 10% wins.
Tax Percent: Specified as 8% in master_contract.pdf (4) and reiterated in pricing.xlsx Base Pricing (3). No higher-precedence source changes tax, so the highest-precedence value available is 8% from the Excel sheet (precedence 3).
Effective Date: amendment_q2.docx states the revised pricing is effective 2026-01-01; the Discounts & Amendments sheet shows the same effective date for the 10% discount override. Therefore, 2026-01-01 is the effective date for the current terms.
Overall, amendment_q2.docx (precedence 2) is the most authoritative source affecting CP-001, so it is listed as the controlling document.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,2,AP-002,unit_price,12.0,12.0,0.0,PASS,Correct unit_price. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,discount_percent,0.0,0.0,0.0,PASS,Correct discount_percent. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,total_amount,2592.0,2592.0,0.0,PASS,Correct total_amount. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row 4-7; master_contract.pdf — Page 1
INV-1001,3,EL-003,unit_price,3.25,3.25,0.0,PASS,Correct unit_price. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Table; amendment_q2.docx — Section 3 — Revised Discount Schedule
INV-1001,3,EL-003,discount_percent,12.0,8.0,-4.0,FAIL,"Invoice discount_percent 8.0 is below the contract value 12.0 (delta -4.0000). Authoritative source: amendment_q2.docx (precedence 2). Unit Price: Defined in pricing.xlsx (precedence 3) at $3.25 and in master_contract.pdf (precedence 4) at the same price; amendment_q2.docx states all other SKUs remain unchanged, so pricing.xlsx (higher precedence than PDF and explicit numeric value) prevails. Discount Percent: Defined as 8% in master_contract.pdf (precedence 4) and pricing.xlsx (precedence 3). amendment_q2.docx table revises it to 12% effective 2026-01-01; as precedence 2, this overrides lower sources, so 12% wins. Tax Percent: Listed as 8% in pricing.xlsx (precedence 3) and master_contract.pdf (precedence 4); no higher-precedence source changes it, so 8% stands with pricing.xlsx winning. Effective Date: The revised 12% discount is effective 2026-01-01 per amendment_q2.docx Section 3, making that the controlling effective date for the current terms. The most authoritative source used is amendment_q2.docx at precedence 2.",amendment_q2.docx — Table; amendment_q2.docx — Section 3 — Revised Discount Schedule
INV-1001,3,EL-003,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Table; amendment_q2.docx — Section 3 — Revised Discount Schedule
INV-1001,3,EL-003,total_amount,26254.8,27448.2,1193.4,FAIL,"Invoice total_amount 27448.2 exceeds the contract value 26254.8 (delta +1193.4000). Authoritative source: amendment_q2.docx (precedence 2). Unit Price: Defined in pricing.xlsx (precedence 3) at $3.25 and in master_contract.pdf (precedence 4) at the same price; amendment_q2.docx states all other SKUs remain unchanged, so pricing.xlsx (higher precedence than PDF and explicit numeric value) prevails. Discount Percent: Defined as 8% in master_contract.pdf (precedence 4) and pricing.xlsx (precedence 3). amendment_q2.docx table revises it to 12% effective 2026-01-01; as precedence 2, this overrides lower sources, so 12% wins. Tax Percent: Listed as 8% in pricing.xlsx (precedence 3) and master_contract.pdf (precedence 4); no higher-precedence source changes it, so 8% stands with pricing.xlsx winning. Effective Date: The revised 12% discount is effective 2026-01-01 per amendment_q2.docx Section 3, making that the controlling effective date for the current terms. The most authoritative source used is amendment_q2.docx at precedence 2.",amendment_q2.docx — Table; amendment_q2.docx — Section 3 — Revised Discount Schedule
INV-1001,4,DM-004,unit_price,45.0,45.0,0.0,PASS,Correct unit_price. Matches contract value from email_addendum.eml.,email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,discount_percent,5.0,0.0,-5.0,FAIL,"Invoice discount_percent 0.0 is below the contract value 5.0 (delta -5.0000). Authoritative source: email_addendum.eml (precedence 1). unit_price: Defined as $45.00 in email_addendum.eml [1] (precedence 1), pricing.xlsx Base Pricing [4] (precedence 3), and master_contract.pdf [8] (precedence 4). Email addendum has highest authority, final value 45.0.

discount_percent: Email addendum [1] revises discount from 0% to 5% effective 2026-01-01. Excel Base Pricing [4] and master_contract.pdf [8] list 0%. Precedence rule gives email addendum priority; final value 5.0.

tax_percent: Listed as 8% in email addendum [1], Excel Base Pricing [4], and master_contract.pdf [8]. Email addendum wins by precedence; final value 8.0.

effective_date: Only email_addendum.eml [1] specifies an effective date (2026-01-01) for the discount change; therefore this is the contract’s effective date for the revised terms.

All selected values come from the highest-precedence source: email_addendum.eml (precedence 1). Lower-precedence documents either match or are over-ridden.",email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from email_addendum.eml.,email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,total_amount,6925.5,7290.0,364.5,FAIL,"Invoice total_amount 7290.0 exceeds the contract value 6925.5 (delta +364.5000). Authoritative source: email_addendum.eml (precedence 1). unit_price: Defined as $45.00 in email_addendum.eml [1] (precedence 1), pricing.xlsx Base Pricing [4] (precedence 3), and master_contract.pdf [8] (precedence 4). Email addendum has highest authority, final value 45.0.

discount_percent: Email addendum [1] revises discount from 0% to 5% effective 2026-01-01. Excel Base Pricing [4] and master_contract.pdf [8] list 0%. Precedence rule gives email addendum priority; final value 5.0.

tax_percent: Listed as 8% in email addendum [1], Excel Base Pricing [4], and master_contract.pdf [8]. Email addendum wins by precedence; final value 8.0.

effective_date: Only email_addendum.eml [1] specifies an effective date (2026-01-01) for the discount change; therefore this is the contract’s effective date for the revised terms.

All selected values come from the highest-precedence source: email_addendum.eml (precedence 1). Lower-precedence documents either match or are over-ridden.",email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
